2025-10-06 16:05:17.621 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:18.991 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:20.367 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:21.692 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:23.026 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:24.413 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:25.359 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:26.717 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:27.969 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:29.271 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:30.573 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:31.929 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:33.292 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:34.659 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:36.030 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:37.354 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:38.727 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:40.053 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:41.435 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:42.820 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:44.155 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:45.541 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
2025-10-06 16:05:46.978 | INFO     | backend.routes.websocket:watcher:61 - 📦 Änderung erkannt: {(<Change.modified: 2>, '/app/backend/logs/server.log')}
